case_id,blur_sigma,contrast,sigma_perp,sigma_parallel,spacing,alpha,mse,psnr,mae,correlation
case_01_sharp_contrast_low,0.0,0.2,1.0,10.0,5.0,1.4999999999999998,0.018866531550884247,17.243080139160156,0.10025687515735626,0.003836866883460852
case_02_sharp_contrast_medium,0.0,0.5,1.0,10.0,5.0,0.6,0.11809642612934113,9.277632713317871,0.24846796691417694,0.0038368668834603383
case_03_sharp_contrast_high,0.0,0.8,1.0,10.0,5.0,0.37499999999999994,0.3045552372932434,5.163339614868164,0.39599737524986267,0.003836866883460852
case_04_sharp_diagonal,0.0,0.5,1.0,10.0,5.0,0.6,0.11691247671842575,9.321392059326172,0.246108740568161,0.0073944275926384855
case_05_blur1_contrast_medium,1.0,0.5,1.0,10.0,5.0,0.6,0.11645406484603882,9.338454246520996,0.24668818712234497,0.0025320420804625754
case_06_blur2_contrast_medium,2.0,0.5,1.0,10.0,5.0,0.6,0.11481381952762604,9.40005874633789,0.24501875042915344,0.002158490317402689
case_07_blur4_contrast_medium,4.0,0.5,1.0,10.0,5.0,0.6,0.1113583967089653,9.532770156860352,0.24147546291351318,0.0024552767100798636
case_08_blur2_contrast_high,2.0,0.8,1.0,10.0,5.0,0.37499999999999994,0.2974601089954376,5.265713214874268,0.3922214210033417,0.003870778812711031
case_09_horizontal_blur2,2.0,0.5,1.0,10.0,5.0,0.6,0.11482053250074387,9.39980411529541,0.24503052234649658,0.002238193913493365
case_10_blur1_contrast_low,1.0,0.2,1.0,10.0,5.0,1.4999999999999998,0.018644941970705986,17.294389724731445,0.0998225286602974,0.003602206729997711
case_11_blur4_contrast_low,4.0,0.2,1.0,10.0,5.0,1.4999999999999998,0.017931677401065826,17.463790893554688,0.09845036268234253,0.0004255824530133826
case_12_sharp_contrast_verylow,0.0,0.1,1.0,10.0,5.0,2.9999999999999996,0.005746500100940466,22.405967712402344,0.054163940250873566,0.003836866883460659
