sweep,case_id,param_name,param_value,sigma_perp,sigma_parallel,spacing,alpha,mse,psnr,mae,correlation,blur_sigma,contrast
sweep_4_alpha_corrected,case_02_sharp_contrast_medium,alpha,0.5,2.0,5.0,2.5,0.5,0.12191236764192581,9.139522552490234,0.24842046201229095,0.002974595100816647,0.0,0.5
sweep_4_alpha_corrected,case_02_sharp_contrast_medium,alpha,1.0,2.0,5.0,2.5,1.0,0.12929664552211761,8.884127616882324,0.25627005100250244,0.0029729711825350652,0.0,0.5
sweep_4_alpha_corrected,case_02_sharp_contrast_medium,alpha,1.5,2.0,5.0,2.5,1.5,0.1357005536556244,8.67418384552002,0.2622544765472412,0.0029536077920930687,0.0,0.5
sweep_4_alpha_corrected,case_02_sharp_contrast_medium,alpha,2.0,2.0,5.0,2.5,2.0,0.1392499804496765,8.56204891204834,0.2656368613243103,0.003006742675708222,0.0,0.5
sweep_4_alpha_corrected,case_02_sharp_contrast_medium,alpha,3.0,2.0,5.0,2.5,3.0,0.14349156618118286,8.43173599243164,0.26973778009414673,0.0031024402067786863,0.0,0.5
sweep_4_alpha_corrected,case_03_sharp_contrast_high,alpha,0.5,2.0,5.0,2.5,0.5,0.3096851706504822,5.09079647064209,0.3959228992462158,0.0029745948789848455,0.0,0.8
sweep_4_alpha_corrected,case_03_sharp_contrast_high,alpha,1.0,2.0,5.0,2.5,1.0,0.31594911217689514,5.003829002380371,0.4008437395095825,0.002962757284581472,0.0,0.8
sweep_4_alpha_corrected,case_03_sharp_contrast_high,alpha,1.5,2.0,5.0,2.5,1.5,0.3181852400302887,4.97320032119751,0.4027613401412964,0.003049604581117545,0.0,0.8
sweep_4_alpha_corrected,case_03_sharp_contrast_high,alpha,2.0,2.0,5.0,2.5,2.0,0.3195801079273224,4.954202651977539,0.4039665162563324,0.0031187228784488844,0.0,0.8
sweep_4_alpha_corrected,case_03_sharp_contrast_high,alpha,3.0,2.0,5.0,2.5,3.0,0.32146188616752625,4.928705215454102,0.40561094880104065,0.003217729529433087,0.0,0.8
sweep_4_alpha_corrected,case_10_blur1_contrast_low,alpha,0.5,2.0,5.0,2.5,0.5,0.019136231392621994,17.18143653869629,0.09882088005542755,0.0019682572665274426,1.0,0.2
sweep_4_alpha_corrected,case_10_blur1_contrast_low,alpha,1.0,2.0,5.0,2.5,1.0,0.020329471677541733,16.918739318847656,0.10206542909145355,0.0019682572665274426,1.0,0.2
sweep_4_alpha_corrected,case_10_blur1_contrast_low,alpha,1.5,2.0,5.0,2.5,1.5,0.02315465174615383,16.353618621826172,0.1068740263581276,0.0019682572696233416,1.0,0.2
sweep_4_alpha_corrected,case_10_blur1_contrast_low,alpha,2.0,2.0,5.0,2.5,2.0,0.027611777186393738,15.589056968688965,0.11216407269239426,0.0019682572665274426,1.0,0.2
sweep_4_alpha_corrected,case_10_blur1_contrast_low,alpha,3.0,2.0,5.0,2.5,3.0,0.038467634469270706,14.149045944213867,0.12189552187919617,0.0020402379685549718,1.0,0.2
